product_id,product_name,product_detail,company,sector,weight_kg,carbon_footprint,country,year
22295-21-2016,Metsä Board Prime FBB CXB (Carta Allura),"MetsäBoard Prime FBB CXB is a fully coated bleached paperboard with coated back, available in a basis weight range of 225-260 g/m² and suitable for offset, gravure, flexo and digital printing.",Metsä Board,Construction & commercial materials,1000.0,766.0,Finland,2016
22295-22-2016,Metsä Board Prime FBB CXL (Tako HiD L JTI),"MetsäBoard Prime FBB CX is a fully coated paperboard with coated back, available in basis weight range of 235 g/m² and is suitable for gravure, offset and flexo printing.",Metsä Board,Construction & commercial materials,1000.0,767.0,Finland,2016
22295-23-2016,Metsä Board Prime FBB CXX (Tako HiD X JTI),"MetsäBoard Prime FBB CX is a fully coated paperboard with coated back, available in basis weight 270 g/m² and is suitable for gravure, offset and flexo printing.",Metsä Board,Construction & commercial materials,1000.0,767.0,Finland,2016
22295-24-2016,Metsä Board Pro FBB (Avanta Prima),"MetsäBoard Pro FBB is a fully coated folding boxboard (GC2) available in a basis weight range of 205-355 g/m² and suitable for offset, gravure, flexo and digital printing.",Metsä Board,Construction & commercial materials,1000.0,811.0,Finland,2016
22295-25-2016,Metsä Board Pro FBB Bright (Carta Solida),"MetsäBoard Pro FBB Bright is a fully coated bleached paperboard with white back, available in a basis weight range of 185-350 g/m² and suitable for offset, gravure, flexo and digital printing as well as for litholamination",Metsä Board,Construction & commercial materials,1000.0,534.0,Finland,2016
22295-26-2016,MetsäBoard Pro FBB CX (Tako CX Lite S),"MetsäBoard Pro FBB CX is a fully coated paperboard, available in a basis weight range of 200-225g/m², suitable for gravure, offset and flexo printing.",Metsä Board,Construction & commercial materials,1000.0,776.0,Finland,2016
22322-1-2014,Glass container,355ml carbonated beverage container from Asia-Pacific,Owens-Illinois,Packaging for consumer goods,0.416,0.153,USA,2014
22322-2-2014,Glass container,355ml carbonated beverage container from Europe,Owens-Illinois,Packaging for consumer goods,0.416,0.11,USA,2014
22322-3-2014,Glass container,355ml carbonated beverage container from Latin America,Owens-Illinois,Packaging for consumer goods,0.416,0.117,USA,2014
22322-4-2014,Glass container,355ml carbonated beverage container from North America,Owens-Illinois,Packaging for consumer goods,0.416,0.171,USA,2014
22379-1-2015,BillerudKorsnäs Liquid LC,Liquid Packaging Board with the grammages of 272 and 280 aimed for converting to beverage cartons.,BillerudKorsnäs,Packaging for consumer goods,1000.0,407.0,Sweden,2015
22645-1-2013,TFT-LCD products,"TFT-LCD products is the use of the optical properties of liquid crystals to achieve the image display, liquid crystal main structure is poured into the vacuum between the two pieces of glass, glass, applied voltage and control the proper spacing of the deflection characteristics of the incident light can be changed to to image display. For the automobile products's TFT-LCD Module, the product is defined as B to B (Business to Business) products, ranging from the cradle to the door inventory, according to standard PCR system boundaries should be compulsory included in carbon footprint assessment phase are as follows:  . Mining and raw materials made  . Manufacture of major components  . Transport components  . Product assembly stage. The models 069LA of automobile panel was complete the dual certification of carbon footprint and water footprint  by SGS in 2011.",Chunghwa Picture Tubes Ltd,"Computer, IT & telecom",0.28,12.0,Taiwan,2013
22710-1-2016,Coca-Cola (all packaging and sizes),Coca-Cola soft drink (carbonated non-alcoholic beverage),Coca-Cola HBC AG,Food & Beverage,1.093,0.147,Switzerland,2016
22917-2-2015,Wind Turbine G90 2 Megawats,Cradle to grave emissions of a Wind Turbine G90 2 Megawats,"Gamesa Corporación Tecnológica, S.A.",Comm. equipm. & capital goods,361000.0,1251625.0,Spain,2015
22917-3-2015,Wind Turbine G114 2 Megawats,Cradle to grave emissions of a Wind Turbine G114 2 Megawats. Tower 93 m3ters,"Gamesa Corporación Tecnológica, S.A.",Comm. equipm. & capital goods,400000.0,1532608.0,Spain,2015
22917-4-2015,Wind Turbine G128 5 Megawats,Cradle to grave emissions of a Wind Turbine G128 5 Megawats. Hibrid tower 140 meters,"Gamesa Corporación Tecnológica, S.A.",Comm. equipm. & capital goods,600000.0,3718044.0,Spain,2015
22917-5-2015,Wind Turbine G132 5 Megawats,Cradle to grave emissions of a Wind Turbine G132 5 Megawats. Metallic tower of 95 meters,"Gamesa Corporación Tecnológica, S.A.",Comm. equipm. & capital goods,600000.0,3276187.0,Spain,2015
23195-10-2013,HP EliteDisplay E201 20-inch LED Backlit Monitor,[no detail provided],Hewlett-Packard,"Computer, IT & telecom",7.1,300.0,USA,2013
23195-11-2013,HP Compaq LA2206xc 21.5-inch Webcam Monitor,[no detail provided],Hewlett-Packard,"Computer, IT & telecom",8.3,380.0,USA,2013
23195-1-2013,HP LaserJet Enterprise M4555fskm MFP (note that this product,HP LaserJet Enterprise M4555fskm MFP (note that this product is representative of 61 similar products for which full LCAs were performed),Hewlett-Packard,"Computer, IT & telecom",52.5,16100.0,USA,2013
23195-12-2013,HP Compaq LA2405x 24-inch LED Backlit Monitor,[no detail provided],Hewlett-Packard,"Computer, IT & telecom",10.1,460.0,USA,2013
23195-2-2013,HP Envy 120 InkJet Printer,[no detail provided],Hewlett-Packard,"Computer, IT & telecom",7.2,231.4,USA,2013
23195-3-2013,HP ScanJet 7500 (note that this product,HP ScanJet 7500 (note that this product is representative of 5 similar products for which full LCAs were performed),Hewlett-Packard,"Computer, IT & telecom",10.61,262.1,USA,2013
